name	position	email	salary	department
Sundar Pichai	CEO	sundar@google.com	2500000	Executive
Jeff Dean	Head of AI	jeff@google.com	700000	AI Research
Urs Hölzle	Cloud Infrastructure	urs@google.com	650000	Cloud
Sissie Hsiao	VP Assistant	sissie@google.com	480000	Product
Thomas Kurian	Cloud CEO	thomas@google.com	800000	Cloud
Ben Gomes	Search Team Lead	ben@google.com	600000	Search
Susan Li	CFO	susan@google.com	520000	Finance
Prabhakar Raghavan	SVP Knowledge & Info	prabhakar@google.com	750000	Search
Liz Reid	VP Search	liz@google.com	580000	Search
Ashish Agarwal	Director AI	ashish@google.com	500000	AI Research
